ISO,CountryName,Year,Pneumonia,Diarrhoea,Malaria,Aids,Measles,Injury,Meningitis,Other
ZWE,Zimbabwe,2015,14.7,9.7,2.3,8.9,0.4,7.2,1.4,17.5
AFG,Afghanistan,2000,22,17.3,0.2,0,8.3,4.8,4.4,10.6
ALB,Albania,2000,19.3,2.9,0,0,0.1,8.7,2.4,15.3
DZA,Algeria,2000,15.9,8.4,0,0,4.9,5.3,1.5,12.5
AND,Andorra,2000,2.7,0.1,0,0,0,5,0.9,17.6
AGO,Angola,2000,19.4,19.3,12.6,0.9,0.8,3.2,4.3,10.7
ATG,Antigua & Barbuda,2000,0,0,0,0,0,1.7,1.7,23.9
ARG,Argentina,2000,6.9,2.1,0,0.4,0,8.6,1.6,16.5
ARM,Armenia,2000,20,3.7,0,0.2,0.1,9.2,2.2,11.8
AUS,Australia,2000,2.6,0.1,0,0,0,11,1.8,26.7
AUT,Austria,2000,1.9,0.3,0,0,0,9.9,1.6,18.3
AZE,Azerbaijan,2000,19.5,12.7,0,0,0.1,5.4,2.5,15.3
BHS,Bahamas,2000,23,0.9,0,0.9,0,10.2,0.8,9.7
BHR,Bahrain,2000,1.7,0.4,0,0,0,13.5,0.4,15.9
BGD,Bangladesh,2000,19.8,12.1,1.3,0,4,5,3.1,11.4
BRB,Barbados,2000,0,0,0,5.3,0,5,3.1,22.6
BLR,Belarus,2000,13.7,1.6,0,0.2,0,7.6,1.9,13.9
BEL,Belgium,2000,1.2,0.7,0,0,0,9.9,4.1,25
BLZ,Belize,2000,12.6,4.5,0,1.4,0,12.3,3.2,8.1
BEN,Benin,2000,17,14.1,14.8,1.4,6.6,3.6,3.1,11.3
BTN,Bhutan,2000,21.6,13.6,0.3,0.1,2.4,6.5,2.9,13.2
BOL,Bolivia,2000,18.5,15.4,0,0.1,0,6.4,2,14.6
BIH,Bosnia & Herzegovina,2000,7.8,0.9,0,0,1.5,3.7,0.7,11.2
BWA,Botswana,2000,7.3,4.4,0.5,40.5,15.4,1.8,0.7,5.6
BRA,Brazil,2000,12.3,7.6,0.1,0.5,0,4.7,2.6,19.8
BRN,Brunei,2000,5.2,0,0,0,0,5,0,26.8
BGR,Bulgaria,2000,20.8,2.5,0,0,0,5,1.5,16
BFA,Burkina Faso,2000,9.7,8.2,37.5,2,11.6,1.8,2.8,5.2
BDI,Burundi,2000,17.2,13.3,19.5,3.3,4.8,3.5,3.8,9.2
KHM,Cambodia,2000,20.7,14.7,6.3,1.8,3.8,5,3.8,12.6
CMR,Cameroon,2000,16.5,14.1,19.2,5,4.8,3.4,2.6,9.8
CAN,Canada,2000,2.6,0.4,0,0,0,7.8,1.5,21.2
CPV,Cape Verde,2000,16.7,9.7,0,2.2,6.3,3.5,1.3,13
CAF,Central African Republic,2000,12.1,10.4,23.8,8,6.3,2.1,3.8,6.4
TCD,Chad,2000,21.3,19.4,6.3,2.5,5.3,3.8,4.2,9.9
CHL,Chile,2000,9.9,0.9,0,0.1,0,9.7,2,11.9
CHN,China,2000,19.1,4.9,0,0.1,0.3,12.8,1.3,10.3
COL,Colombia,2000,12.7,6.1,0.5,0.2,0,6.5,2,18.5
COM,Comoros,2000,18.5,12.3,8.6,0,0,4.3,3.2,11.1
COG,Congo,2000,15.5,12.1,13.9,6.5,7.1,3.5,2,10.4
COD,Congo DR,2000,12.1,10.2,29.3,1.6,9.9,2.4,2.8,7.5
COK,Cook Islands,2000,10.7,2.4,0,0,0,6.4,1.4,17.8
CRI,Costa Rica,2000,7.3,3.5,0,0.2,0,4.2,1,16.1
CIV,Cote d Ivoire,2000,9.7,7,32.8,4.9,4.3,1.9,1.2,5.6
HRV,Croatia,2000,5.5,0.3,0,0,0,8,1.4,11.3
CUB,Cuba,2000,6.3,1.5,0,0,0,8.4,3.6,18.3
CYP,Cyprus,2000,5.4,0.4,0,0.1,0,8.1,1.7,20.2
CZE,Czech Republic,2000,4.3,0.2,0,0,0,11,1.6,26.3
DNK,Denmark,2000,2.4,0.5,0,0,0,5.3,1.7,17.9
DJI,Djibouti,2000,16.6,12.2,0.7,4,7.4,4.2,2.4,12.3
DMA,Dominica,2000,3.1,0,0,0,0,1.4,0,14.1
DOM,Dominican Republic,2000,13.6,6.8,0,6,0,5,1.3,10.2
ECU,Ecuador,2000,14.5,8.4,0,0.9,0,6.4,1.5,16.1
EGY,Egypt,2000,19.4,8.7,0,0,3,4.3,0.8,12.7
SLV,El Salvador,2000,18.2,9.2,0,1.1,0,6,1.6,16.2
GNQ,Equatorial Guinea,2000,15.2,12.9,19,1.2,8.3,3.2,1.4,10
ERI,Eritrea,2000,17.9,11.5,0.3,1.8,26.3,4.7,3.3,8.6
EST,Estonia,2000,7.3,1.7,0,0,0,21.3,0.9,7.6
ETH,Ethiopia,2000,20.6,15.4,2.8,3.5,4.4,4.1,6.9,8.9
FSM,Federated States of Micronesia,2000,16.8,10.9,0,0,0.8,6,1.8,16.1
FJI,Fiji,2000,10.9,4.7,0,0.2,1.9,7.5,2,16.1
FIN,Finland,2000,1.6,1,0,0,0,6.7,0.5,18.3
FRA,France,2000,1.5,1.5,0,0.1,0,8.8,2.1,24.3
GAB,Gabon,2000,12.4,8.2,9.1,11.9,8.1,3.1,1,7.7
GMB,Gambia The,2000,15.8,15,7.6,1.7,4.3,4.6,2.3,12
GEO,Georgia,2000,17.6,3.7,0,0.1,0,9,1.9,11.8
DEU,Germany,2000,1.7,0.4,0,0.1,0,7,1.7,19.8
GHA,Ghana,2000,11.9,7.7,21.8,3.3,11.2,2.9,1.7,6.5
GRC,Greece,2000,2.9,0,0,0,0,4.7,1.1,6.2
GRD,Grenada,2000,9.2,3.7,0,0,0,8.1,0,15.2
GTM,Guatemala,2000,22.1,12.6,0.1,0.5,0,7.2,2.6,14
GIN,Guinea,2000,13.1,11,21.5,1.6,14.5,2.5,2.4,7.1
GNB,Guinea-Bissau,2000,16.4,14.4,13.4,1.7,8.7,3,2.9,8.6
GUY,Guyana,2000,8.4,12.3,3.2,2.4,0,4.7,0.8,13
HTI,Haiti,2000,23.4,17.2,0.5,4.8,0,5.8,4.1,12.7
HND,Honduras,2000,15.7,10,0.1,4.6,0,2.8,1.5,18.1
HUN,Hungary,2000,7.1,0.1,0,0,0,6.9,1.2,11.5
ISL,Iceland,2000,0,0,0,0,0,7.8,0,31.8
IND,India,2000,19.1,13.4,0.5,0.3,2.9,3.1,2.6,12.2
IDN,Indonesia,2000,18.9,10.7,0.5,0,8.9,6.1,2.3,13.2
IRN,Iran,2000,16.3,8.3,0,0,0.3,5.7,1.6,13.1
IRQ,Iraq,2000,17,9.2,0,0,1.4,6,1.5,12.5
IRL,Ireland,2000,3,0,0,0,0.9,3.2,5.2,13.6
ISR,Israel,2000,1.7,0.8,0,0,0,6.4,0.3,27.9
ITA,Italy,2000,1.9,0,0,0.3,0,4.2,0.6,16
JAM,Jamaica,2000,5.4,1.4,0,9.8,0,2.7,0.4,11.2
JPN,Japan,2000,6.7,0.6,0,0,0.2,12.3,1.1,20.8
JOR,Jordan,2000,11.7,4.8,0,0,0,8.6,0.7,13.4
KAZ,Kazakhstan,2000,18.1,10,0,0.1,0,6.2,1.9,14.5
KEN,Kenya,2000,17.3,11.8,7.2,17.1,1.3,4.2,2.8,9.6
KIR,Kiribati,2000,20.3,12.6,0,0,0,5.6,3.1,16
PRK,Korea DPR,2000,19.3,11.8,0,0,0,5.9,3.5,16.1
KOR,Korea Rep,2000,5.7,0.9,0,0,0.4,16.8,1.6,19.3
KWT,Kuwait,2000,6.1,0.4,0,0,0,6.9,0.8,11.8
KGZ,Kyrgyzstan,2000,18.4,10,0,0.1,0,6.4,3.1,14.5
LAO,Lao PDR,2000,22.2,16,1.3,0,6.3,5.2,3.4,10.9
LVA,Latvia,2000,4.6,0,0,0,0,11.7,1.4,11.7
LBN,Lebanon,2000,10.7,4.2,0,0.1,0.7,8.8,0.7,13.6
LSO,Lesotho,2000,15.7,10.8,0,25.3,0.9,3.4,2.4,9.4
LBR,Liberia,2000,11.7,10.7,25.8,1.5,16.4,2.1,3.1,6.7
LBY,Libya,2000,11,2.9,0,0,0,10.2,0.8,17.1
LTU,Lithuania,2000,8.9,0.3,0,0,0,16.7,2.3,10.4
LUX,Luxembourg,2000,0,0,0,0,0,14.9,7,23.1
MKD,Macedonia,2000,8.1,8.7,0,0,0,2.9,0.9,13.8
MDG,Madagascar,2000,22.5,16.2,2.7,0.6,5.7,5.3,4.1,12.7
MWI,Malawi,2000,16.2,13.9,15.7,14.6,0.2,3.1,3.9,10.3
MYS,Malaysia,2000,8.6,3,0.2,0.8,0,6.5,1.4,13.9
MDV,Maldives,2000,16.2,5.3,0,0,0,4.5,1.2,16.9
MLI,Mali,2000,16,15.8,23.4,1.2,3.1,2.6,3,8.3
MLT,Malta,2000,1.5,0,0,0,0,4.8,5.2,21.5
MHL,Marshall Islands,2000,17.4,10.8,0,0,0,6.3,2.1,15.6
MRT,Mauritania,2000,19,14.1,3.7,1,5.5,4.3,2.8,11
MUS,Mauritius,2000,3.9,1.6,0,0,0,6.9,1.6,10.1
MEX,Mexico,2000,16.3,7.8,0,0.2,0,9.5,1.6,17.7
MDA,Moldova,2000,26.3,1.4,0,0,0,10.4,1.7,7
MCO,Monaco,2000,0.4,0,0,0,0,0.5,0,10.8
MNG,Mongolia,2000,19.6,12.2,0,0,0.6,6.2,2.7,15.8
MNE,Montenegro,2000,2.5,1.2,0,0,0,4,0,15.8
MAR,Morocco,2000,17.2,9.5,0,0.1,0.2,5.2,2.1,12.2
MOZ,Mozambique,2000,12.8,10.8,27.1,7.2,3.6,2.4,2.9,7.4
MMR,Myanmar,2000,19,12,1.1,0.5,1.6,5.6,3.8,13.1
NAM,Namibia,2000,15.1,9.5,2.3,29.9,0.1,4.1,1.8,10
NRU,Nauru,2000,16.4,8.9,0,0,0,5.3,1.7,13.8
NPL,Nepal,2000,19,10.9,0,0.1,8.7,4.8,3,9.6
NLD,Netherlands,2000,2.3,0,0,0,0,5.8,2.9,17.2
NZL,New Zealand,2000,5.7,0.4,0,0,0,12.2,4.2,18.4
NIC,Nicaragua,2000,18,15.5,0.1,1,0,3.5,1.7,17.1
NER,Niger,2000,20.6,20.7,10.9,0.7,5.1,3.4,7,10
NGA,Nigeria,2000,14.3,13,19.4,2.4,14.4,2.6,2.1,7.4
NIU,Niue,2000,20.9,4,0,0,0,13.6,4.2,28.6
NOR,Norway,2000,3.4,0.5,0,0,0,6.2,5,24.5
OMN,Oman,2000,11.1,2.2,0,0.4,0,9.4,0.9,20.7
PAK,Pakistan,2000,18.9,12.7,0.2,0,0.8,5,2.4,9.8
PLW,Palau,2000,9.6,1.8,0,0,0,13.9,2.2,13.6
PAN,Panama,2000,9.8,4.7,0,0.7,0,3.2,1.6,17.9
PNG,Papua New Guinea,2000,15.5,9.1,12.9,1.4,7.7,4.2,2.4,9.7
PRY,Paraguay,2000,14.3,9.3,0,0.3,0,5.3,1.3,12.8
PER,Peru,2000,16.6,8.6,0,1.2,0,8.3,2.5,18.5
PHL,Philippines,2000,21.4,11.7,0.1,0,0.1,6.9,2.7,12.8
POL,Poland,2000,5,0.2,0,0,0,6.1,1.1,10.4
PRT,Portugal,2000,3.7,0.2,0.2,0.2,0,9.5,4.4,23
QAT,Qatar,2000,5.2,0.8,0,0.1,0,9.8,0.8,20.3
ROU,Romania,2000,31.1,2.3,0,0.1,0,8.1,2.5,9.4
RUS,Russian Federation,2000,13.8,1.8,0,1,0,9,2.1,13.7
RWA,Rwanda,2000,20.8,18.4,5.7,4.9,1.1,4,7.1,11.6
KNA,Saint Kitts & Nevis,2000,2.6,2.6,0,0,0,1.7,0,23
LCA,Saint Lucia,2000,4,2.3,0,2.2,0,5.7,0.8,19.6
WSM,Samoa,2000,13.2,4.7,0,0,0,7.2,1.5,13.7
SMR,San Marino,2000,5.2,0.2,0,0,0,18.8,3,34.9
STP,Sao Tome & Principe,2000,16.6,11.5,20.7,1.8,0.2,4.3,2.6,11.4
SAU,Saudi Arabia,2000,9.8,2.6,0,0,0.1,9,0.8,18.3
SEN,Senegal,2000,18.6,14.9,8.3,0.4,7.9,4,4.7,11.1
SRB,Serbia,2000,5.4,0.9,0,0.3,0,4.8,1.4,8.5
SYC,Seychelles,2000,6.6,1.2,0,0,0,8.3,1,14.8
SLE,Sierra Leone,2000,12.8,13.6,26,0.5,15.8,2,2.6,7.1
SGP,Singapore,2000,8.8,0,0,0,0,6.3,4,22.1
SVK,Slovakia,2000,11.4,1.3,0,0,0,5.2,1.5,15
SVN,Slovenia,2000,0,0,0,0,0,6.6,0,9.8
SLB,Solomon Islands,2000,16.4,7.7,12.1,0,0,5.6,2.9,10.2
SOM,Somalia,2000,17.7,15.7,1.1,0.4,26.2,3.3,3.9,8.1
ZAF,South Africa,2000,14.6,11.7,0.2,28.5,0.6,5,1.3,15.1
SSD,South Sudan,2000,18.8,15.9,12.8,1.5,3.4,3.3,4.4,8.1
ESP,Spain,2000,2,0.2,0,0.1,0,5.5,2.9,18.4
LKA,Sri Lanka,2000,10.1,4.1,0.3,0,0,6.1,0.9,18.6
VCT,St Vincent & the Grenadines,2000,3.3,3.4,0,3.2,0,6.8,1.1,15.8
SDN,Sudan,2000,21.1,15,2.2,0.1,5.6,5.1,5,12.1
SUR,Suriname,2000,8.2,6.6,3,1.2,0,8.2,2.1,15
SWZ,Swaziland,2000,15.9,12.3,0,35.2,0,3.6,2,10.5
SWE,Sweden,2000,1.8,0,0,0,0,4.2,1.3,16.9
CHE,Switzerland,2000,1.5,0.3,0,0,0,8,2,20.6
SYR,Syria,2000,14.4,9.5,0,0,0.1,4.2,0.6,11.8
TJK,Tajikistan,2000,22.6,15.5,0,0.3,0,6,4.5,17
TZA,Tanzania,2000,18,13.6,12.7,9.9,2,3.9,3.6,10.2
THA,Thailand,2000,13,4.8,1,3.5,0.2,4.6,1.1,13.4
TLS,Timor Leste,2000,22.5,16.1,7.2,0,0,5.5,3.3,11.7
TGO,Togo,2000,11.8,8.4,26.9,4,10.2,2.5,2.1,6.3
TON,Tonga,2000,12.8,4.9,0,0,0,8.9,1.7,18
TTO,Trinidad & Tobago,2000,3.2,1,0,3,0,2.5,1.2,9.7
TUN,Tunisia,2000,15.2,5.5,0,0,0,4.9,0.7,14.9
TUR,Turkey,2000,8.1,1,0,0,0,3.3,0.7,27.1
TKM,Turkmenistan,2000,21.1,14.3,0,0,0,6,2.8,17.2
TUV,Tuvalu,2000,17.9,6,0,0,0,6.3,1.5,12.7
UGA,Uganda,2000,13.2,10.1,27.2,7.5,7,2.8,2.7,7.3
UKR,Ukraine,2000,14.7,2,0,3.7,0.2,6.5,1.6,10.5
ARE,United Arab Emirates,2000,5.4,0.8,0,0,0,8.7,0.8,20.7
GBR,United Kingdom,2000,4.1,1.3,0,0.1,0,5,3,18.9
USA,United States of America,2000,3.1,2,0,0.1,0,11.4,0.9,22.2
URY,Uruguay,2000,8.8,3.1,0,0.4,0,7.4,1.2,17.2
UZB,Uzbekistan,2000,18.7,11,0,0.2,0,5.3,2.9,15.6
VUT,Vanuatu,2000,15.6,15.6,7.9,0,0,5.2,1.4,7.7
VEN,Venezuela,2000,8.1,10.4,0.1,0.2,0,6.5,1.9,13.5
VNM,Vietnam,2000,19.2,13.9,0.2,0.2,6.7,3.4,1.5,11.1
YEM,Yemen,2000,21.9,14.8,1.2,0,5.2,5.6,3,11.8
ZMB,Zambia,2000,16.5,14.4,15,11.2,4.8,3.3,2.8,9.8
ZWE,Zimbabwe,2000,12.3,8.7,3.4,41.2,0.3,2.9,1.9,8.6
